,map,agents,team,match_id,game_id
0,Fracture,Viper,Team Liquid,247100,137395
1,Fracture,Breach,Team Liquid,247100,137395
2,Fracture,Astra,Team Liquid,247100,137395
3,Fracture,Neon,Team Liquid,247100,137395
4,Fracture,Sova,Team Liquid,247100,137395
5,Fracture,Viper,Natus Vincere,247100,137395
6,Fracture,Killjoy,Natus Vincere,247100,137395
7,Fracture,Raze,Natus Vincere,247100,137395
8,Fracture,Fade,Natus Vincere,247100,137395
9,Fracture,Omen,Natus Vincere,247100,137395
0,Bind,Viper,Team Liquid,247100,137396
1,Bind,Raze,Team Liquid,247100,137396
2,Bind,Chamber,Team Liquid,247100,137396
3,Bind,Astra,Team Liquid,247100,137396
4,Bind,Skye,Team Liquid,247100,137396
5,Bind,Viper,Natus Vincere,247100,137396
6,Bind,Skye,Natus Vincere,247100,137396
7,Bind,Brimstone,Natus Vincere,247100,137396
8,Bind,Neon,Natus Vincere,247100,137396
9,Bind,Raze,Natus Vincere,247100,137396
0,Lotus,Viper,DRX,247101,137398
1,Lotus,Fade,DRX,247101,137398
2,Lotus,Killjoy,DRX,247101,137398
3,Lotus,Omen,DRX,247101,137398
4,Lotus,Raze,DRX,247101,137398
5,Lotus,Raze,LOUD,247101,137398
6,Lotus,Fade,LOUD,247101,137398
7,Lotus,Viper,LOUD,247101,137398
8,Lotus,Killjoy,LOUD,247101,137398
9,Lotus,Omen,LOUD,247101,137398
0,Split,Omen,DRX,247101,137399
1,Split,Raze,DRX,247101,137399
2,Split,Viper,DRX,247101,137399
3,Split,Killjoy,DRX,247101,137399
4,Split,Skye,DRX,247101,137399
5,Split,Raze,LOUD,247101,137399
6,Split,Killjoy,LOUD,247101,137399
7,Split,Astra,LOUD,247101,137399
8,Split,Breach,LOUD,247101,137399
9,Split,Skye,LOUD,247101,137399
0,Ascent,Killjoy,DRX,247101,137400
1,Ascent,Omen,DRX,247101,137400
2,Ascent,Kayo,DRX,247101,137400
3,Ascent,Sova,DRX,247101,137400
4,Ascent,Jett,DRX,247101,137400
5,Ascent,Fade,LOUD,247101,137400
6,Ascent,Jett,LOUD,247101,137400
7,Ascent,Viper,LOUD,247101,137400
8,Ascent,Omen,LOUD,247101,137400
9,Ascent,Breach,LOUD,247101,137400
0,Pearl,Viper,FUT Esports,247087,137368
1,Pearl,Killjoy,FUT Esports,247087,137368
2,Pearl,Kayo,FUT Esports,247087,137368
3,Pearl,Brimstone,FUT Esports,247087,137368
4,Pearl,Jett,FUT Esports,247087,137368
5,Pearl,Jett,T1,247087,137368
6,Pearl,Killjoy,T1,247087,137368
7,Pearl,Viper,T1,247087,137368
8,Pearl,Harbor,T1,247087,137368
9,Pearl,Skye,T1,247087,137368
0,Haven,Omen,FUT Esports,247087,137369
1,Haven,Jett,FUT Esports,247087,137369
2,Haven,Breach,FUT Esports,247087,137369
3,Haven,Gekko,FUT Esports,247087,137369
4,Haven,Killjoy,FUT Esports,247087,137369
5,Haven,Breach,T1,247087,137369
6,Haven,Sova,T1,247087,137369
7,Haven,Omen,T1,247087,137369
8,Haven,Killjoy,T1,247087,137369
9,Haven,Jett,T1,247087,137369
0,Ascent,Omen,Evil Geniuses,247086,137365
1,Ascent,Kayo,Evil Geniuses,247086,137365
2,Ascent,Jett,Evil Geniuses,247086,137365
3,Ascent,Sova,Evil Geniuses,247086,137365
4,Ascent,Killjoy,Evil Geniuses,247086,137365
5,Ascent,Skye,FunPlus Phoenix,247086,137365
6,Ascent,Killjoy,FunPlus Phoenix,247086,137365
7,Ascent,Jett,FunPlus Phoenix,247086,137365
8,Ascent,Astra,FunPlus Phoenix,247086,137365
9,Ascent,Omen,FunPlus Phoenix,247086,137365
0,Pearl,Astra,Evil Geniuses,247086,137366
1,Pearl,Jett,Evil Geniuses,247086,137366
2,Pearl,Kayo,Evil Geniuses,247086,137366
3,Pearl,Sova,Evil Geniuses,247086,137366
4,Pearl,Killjoy,Evil Geniuses,247086,137366
5,Pearl,Astra,FunPlus Phoenix,247086,137366
6,Pearl,Skye,FunPlus Phoenix,247086,137366
7,Pearl,Killjoy,FunPlus Phoenix,247086,137366
8,Pearl,Jett,FunPlus Phoenix,247086,137366
9,Pearl,Omen,FunPlus Phoenix,247086,137366
0,Bind,Skye,Natus Vincere,247102,137401
1,Bind,Raze,Natus Vincere,247102,137401
2,Bind,Sage,Natus Vincere,247102,137401
3,Bind,Viper,Natus Vincere,247102,137401
4,Bind,Brimstone,Natus Vincere,247102,137401
5,Bind,Skye,DRX,247102,137401
6,Bind,Viper,DRX,247102,137401
7,Bind,Brimstone,DRX,247102,137401
8,Bind,Yoru,DRX,247102,137401
9,Bind,Raze,DRX,247102,137401
0,Split,Jett,Natus Vincere,247102,137402
1,Split,Cypher,Natus Vincere,247102,137402
2,Split,Raze,Natus Vincere,247102,137402
3,Split,Skye,Natus Vincere,247102,137402
4,Split,Omen,Natus Vincere,247102,137402
5,Split,Raze,DRX,247102,137402
6,Split,Skye,DRX,247102,137402
7,Split,Omen,DRX,247102,137402
8,Split,Viper,DRX,247102,137402
9,Split,Killjoy,DRX,247102,137402
0,Lotus,Killjoy,Natus Vincere,247102,137403
1,Lotus,Sova,Natus Vincere,247102,137403
2,Lotus,Breach,Natus Vincere,247102,137403
